Year,Sex,Country/Region/World,ISO,Prevalence of BMI>=30 kg/m² (obesity),YoY_Obesity_Prevalence_Diff,Prevalence of BMI >=40 kg/m² (morbid obesity),YoY_Morbid_Obesity_Prevalence_Diff,Prevalence of BMI<18.5 kg/m² (underweight),YoY_Underweight_Prevalence_Diff
1998,Women,India,IND,0.0215329825232889,0.0016901329094386013,0.0008213298337153178,8.650876398568028e-05,0.3661803416760241,-0.008177859817404598
1999,Women,India,IND,0.0233448937263221,0.0018119112030332007,0.0009165720050097932,9.52421712944754e-05,0.3577199458172204,-0.008460395858803704
2000,Women,India,IND,0.025264703234444,0.0019198095081218967,0.0010205706777742,0.0001039986727644068,0.3490097144118984,-0.008710231405322011
2001,Women,India,IND,0.0272783905132638,0.0020136872788198007,0.0011333910278248,0.00011282035005060007,0.3400855567359997,-0.008924157675898658
2002,Women,India,IND,0.029387636039557,0.002109245526293199,0.0012559449975192,0.00012255396969439994,0.3309205646920187,-0.009164992043981024
2003,Women,India,IND,0.0315827641123617,0.0021951280728047043,0.0013873935591208,0.00013144856160160001,0.3215518263557355,-0.009368738336283211
2004,Women,India,IND,0.0338552634575795,0.002272499345217796,0.0015278924673757,0.00014049890825490008,0.3120211101929388,-0.00953071616279666
2005,Women,India,IND,0.0361907631995897,0.002335499742010201,0.0016760708804882,0.00014817841311249983,0.302366127968044,-0.009654982224894804
2006,Women,India,IND,0.0386017565939022,0.0024109933943124995,0.0018317958092957,0.00015572492880749998,0.2925723661387462,-0.009793761829297809
2007,Women,India,IND,0.0411181491911035,0.0025163925972013015,0.0019962140181407,0.00016441820884500005,0.2825899990639725,-0.009982367074773735
2008,Women,India,IND,0.0437404500565153,0.002622300865411799,0.0021673563570172,0.0001711423388765002,0.2724230070960559,-0.010166991967916594
2009,Women,India,IND,0.0464681033410627,0.002727653284547403,0.0023413890279673,0.0001740326709500999,0.2620683719003026,-0.010354635195753303
2010,Women,India,IND,0.0493170410057932,0.0028489376647304956,0.0025188638589788,0.0001774748310115,0.2515998514308766,-0.01046852046942598
2011,Women,India,IND,0.0523088622692525,0.0029918212634593017,0.0027002974120425,0.00018143355306369981,0.2411104992743312,-0.010489352156545395
2012,Women,India,IND,0.0554763499505998,0.0031674876813473016,0.0028867444797325,0.00018644706769000005,0.2306210380390089,-0.010489461235322295
2013,Women,India,IND,0.0588689414910998,0.0033925915404999993,0.003081015941232,0.00019427146149950027,0.2201450042758266,-0.010476033763182319
2014,Women,India,IND,0.0624932074642716,0.0036242659731718016,0.0032832680273798,0.00020225208614779982,0.2098152681013576,-0.010329736174469
2015,Women,India,IND,0.0663971826488058,0.0039039751845341975,0.0034972875640392,0.00021401953665939983,0.1996847608743042,-0.010130507227053387
2016,Women,India,IND,0.0705293768925702,0.004132194243764403,0.0037247219494292,0.00022743438539000018,0.1898247143041402,-0.00986004657016401
2017,Women,India,IND,0.0748313291084393,0.004301952215869098,0.003967884280816,0.00024316233138680027,0.1802935205746215,-0.009531193729518689
2018,Women,India,IND,0.0792402169963642,0.0044088878879249005,0.0042268978950692,0.0002590136142531993,0.1710739199523164,-0.00921960062230509
2019,Women,India,IND,0.0837224627066116,0.004482245710247398,0.0045044816241104,0.0002775837290412003,0.1621537707039199,-0.008920149248396514
2020,Women,India,IND,0.0882932547273675,0.004570792020755901,0.004803141491486,0.0002986598673755999,0.1535509185507155,-0.008602852153204388
2021,Women,India,IND,0.092970727771855,0.0046774730444874985,0.0051218995551092,0.0003187580636232002,0.1452855326482791,-0.008265385902436417
2022,Women,India,IND,0.0977594367343192,0.004788708962464194,0.0054609632092862,0.0003390636541769996,0.1373310246998465,-0.007954507948432582
2023,Women,India,IND,0.1026823678856834,0.004922931151364204,0.0058235556024593,0.0003625923931731001,0.1296717646500354,-0.007659260049811101
2024,Women,India,IND,0.1077337907682271,0.005051422882543705,0.0062094561087348,0.0003859005062755005,0.1223288475301856,-0.007342917119849815
