Year,Sex,Country/Region/World,ISO,Prevalence of BMI>=30 kg/m² (obesity),YoY_Obesity_Prevalence_Diff,Prevalence of BMI >=40 kg/m² (morbid obesity),YoY_Morbid_Obesity_Prevalence_Diff,Prevalence of BMI<18.5 kg/m² (underweight),YoY_Underweight_Prevalence_Diff
1998,Women,United States of America,USA,0.2799217950880545,0.008803596881033882,0.0485901115742555,0.002856746994977802,0.0244175292239266,-0.0004747510786595986
1999,Women,United States of America,USA,0.2887081183133834,0.008786323225328907,0.0515929277335024,0.003002816159246899,0.0240593424254291,-0.0003581867984975007
2000,Women,United States of America,USA,0.2974188530895275,0.008710734776144091,0.0547272646486316,0.003134336915129196,0.0237987075510859,-0.0002606348743431977
2001,Women,United States of America,USA,0.3059788918323307,0.0085600387428032,0.0579562886481354,0.0032290239995038036,0.0236049955289552,-0.00019371202213070218
2002,Women,United States of America,USA,0.3143358176883337,0.008356925856003006,0.0612399049617981,0.003283616313662696,0.0234530005040934,-0.00015199502486179864
2003,Women,United States of America,USA,0.3224653603932112,0.008129542704877535,0.0645486854753209,0.003308780513522805,0.0233309645246962,-0.00012203597939720173
2004,Women,United States of America,USA,0.3303708155509863,0.007905455157775076,0.0678693848500335,0.0033206993747126046,0.0232317334197822,-9.923110491399934e-05
2005,Women,United States of America,USA,0.3380623213375771,0.00769150578659078,0.0711826654957821,0.0033132806457485953,0.0231457712720117,-8.596214777049915e-05
2006,Women,United States of America,USA,0.3455058769916999,0.007443555654122802,0.0744912117060656,0.0033085462102834945,0.0230700711305086,-7.57001415030989e-05
2007,Women,United States of America,USA,0.3527229217358304,0.007217044744130541,0.0777760549102963,0.0032848432042306974,0.0230007421439451,-6.932898656350148e-05
2008,Women,United States of America,USA,0.3596754117344934,0.006952489998662992,0.0810220904928726,0.003246035582576301,0.0229374954259208,-6.324671802429918e-05
2009,Women,United States of America,USA,0.3662341372091242,0.006558725474630767,0.0842014124989113,0.0031793220060387095,0.0228872051327475,-5.029029317329958e-05
2010,Women,United States of America,USA,0.3723402179171436,0.006106080708019435,0.0872514947260448,0.003050082227133502,0.0228506720304146,-3.6533102332900885e-05
2011,Women,United States of America,USA,0.3780197467388119,0.005679528821668278,0.090170933970602,0.00291943924455719,0.0228146306306255,-3.6041399789101675e-05
2012,Women,United States of America,USA,0.3833229973095767,0.005303250570764806,0.0929755697120774,0.0028046357414754086,0.0227765293161823,-3.810131444319936e-05
2013,Women,United States of America,USA,0.3883536333357927,0.005030636026216007,0.0957208395411756,0.0027452698290982014,0.0227255793624268,-5.094995375549971e-05
2014,Women,United States of America,USA,0.3931454810238692,0.0047918476880765,0.0984191432251494,0.0026983036839737934,0.0226647917902448,-6.0787572181999344e-05
2015,Women,United States of America,USA,0.3977115561365169,0.004566075112647672,0.10110505961714,0.002685916391990603,0.0226047343614726,-6.005742877220055e-05
2016,Women,United States of America,USA,0.4020831789742595,0.004371622837742617,0.1037922516301666,0.0026871920130265986,0.0225444571447887,-6.027721668390093e-05
2017,Women,United States of America,USA,0.4062400884481684,0.0041569094739088985,0.1065255026892215,0.002733251059054892,0.0224964268298539,-4.803031493479798e-05
2018,Women,United States of America,USA,0.4101533890788806,0.003913300630712213,0.1093065320501247,0.0027810293609032005,0.0224600991003613,-3.6327729492600935e-05
2019,Women,United States of America,USA,0.4138558531345688,0.0037024640556881927,0.1121340990415142,0.002827566991389502,0.0224444901233494,-1.5608977011898756e-05
2020,Women,United States of America,USA,0.4174051788131102,0.003549325678541382,0.1150057427906936,0.002871643749179406,0.0224496188319566,5.128708607197302e-06
2021,Women,United States of America,USA,0.4208676803034382,0.003462501490328007,0.1179245192020443,0.0029187764113507014,0.0224728705936932,2.325176173660279e-05
2022,Women,United States of America,USA,0.4242724679972746,0.0034047876938363975,0.1208786561696053,0.0029541369675609996,0.0225134052282421,4.053463454889786e-05
2023,Women,United States of America,USA,0.4276815012149303,0.0034090332176557325,0.1238800680524566,0.0030014118828513014,0.0225639037791618,5.0498550919701735e-05
2024,Women,United States of America,USA,0.4310967566287209,0.0034152554137905633,0.1269192909548107,0.0030392229023540884,0.0226223437821339,5.844000297209814e-05
