"Year","Sex","Country/Region/World","ISO","Prevalence of BMI<18.5 kg/m² (underweight)","Prevalence of BMI<18.5 kg/m² (underweight) lower 95% uncertainty interval","Prevalence of BMI<18.5 kg/m² (underweight) upper 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity)","Prevalence of BMI>=30 kg/m² (obesity) lower 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity) upper 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m²","Prevalence of BMI 18.5 kg/m² to <20 kg/m² lower 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m² upper 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m²","Prevalence of BMI 20 kg/m² to <25 kg/m² lower 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m² upper 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m²","Prevalence of BMI 25 kg/m² to <30 kg/m² lower 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m² upper 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m²","Prevalence of BMI 30 kg/m² to <35 kg/m² lower 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m² upper 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m²","Prevalence of BMI 35 kg/m² to <40 kg/m² lower 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m² upper 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity)","Prevalence of BMI >=40 kg/m² (morbid obesity) lower 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity) upper 95% uncertainty interval"
2000,"Women","United Kingdom","GBR",0.018743682872354565,0.016652705136896123,0.020986448487109913,0.20621752534840584,0.19827430249884118,0.21424783452676419,0.047091622319534975,0.04377779093741503,0.05032320810933858,0.4097662356459965,0.4003959120141981,0.4191443059088027,0.3181809318137081,0.309163986251255,0.32730198796956805,0.13490674426796856,0.12776802410158838,0.1421275709762042,0.04970817620187046,0.04574452037501392,0.053858859289103916,0.02160260487856681,0.018924866611638065,0.024429704550241748
2001,"Women","United Kingdom","GBR",0.01840160441708349,0.01633700320855921,0.02059993479463072,0.21271946032145533,0.20455331344919905,0.22090219755963258,0.04624511021278544,0.042949656850993494,0.049440478982162854,0.4033802914854758,0.3939772704573,0.41282596537279104,0.31925353156319997,0.3103421860143271,0.32852235984221695,0.13817008277255277,0.13102103889172972,0.14555383020190835,0.05166742914874983,0.047546947628339276,0.055935430141684096,0.02288194840015269,0.02011061614184427,0.025865839681004036
2002,"Women","United Kingdom","GBR",0.018122906024614444,0.016074520729291355,0.020302716816080583,0.21896118949423748,0.2108670484706713,0.22727509987059993,0.04554472827444231,0.0423140940324838,0.04881147752249951,0.3975330038481337,0.3881630964160367,0.40690968241483005,0.31983817035857204,0.31078397792129153,0.32879456070633317,0.14119285061844802,0.1342125020050501,0.14867206085740248,0.05357484287443206,0.04930111599121138,0.05804884029771073,0.024193496001357406,0.021275152318775924,0.02729946060227404
2003,"Women","United Kingdom","GBR",0.01789130809931146,0.015848145221821354,0.02007399197468991,0.2249487891880481,0.2166306050108184,0.2333100207460668,0.044972084516554635,0.04176297293197524,0.04821971440859619,0.392240684954073,0.3827978798121754,0.4016715697196893,0.3199471312420128,0.3110058145230488,0.3288882863679885,0.14402058245470348,0.13687925326593556,0.1515287870754235,0.05539916334677418,0.05103329119874644,0.05999933055643331,0.025529043386570423,0.02246079254846595,0.028763125902797927
2004,"Women","United Kingdom","GBR",0.017706228013701836,0.015702069614168975,0.01984137004964069,0.23063655514104625,0.22216744909877945,0.2391022260638271,0.04451492228436958,0.041367961000059406,0.047644222149096895,0.3875306636447084,0.37808336320743247,0.3968757599285131,0.31961162891617395,0.3108522396582354,0.32856492917791497,0.14661541677510187,0.13939267568605868,0.15402817370247493,0.05714073965018125,0.052621214236115786,0.06182621674015781,0.02688039871576311,0.02375029327559837,0.03023598152131685
2005,"Women","United Kingdom","GBR",0.017565703702083515,0.015596707126034384,0.019673853878226434,0.23601374148814486,0.22731856250780108,0.24441806159632404,0.044165806764968306,0.04102754018088113,0.04724405395797607,0.38334241365025096,0.3739958281677753,0.3927201861964232,0.3189123323945524,0.310289532240847,0.3279398489110596,0.14897746784397012,0.141890311935755,0.15641395351304768,0.05878861940647426,0.05423951264744351,0.06341203073595918,0.028247654237700492,0.025038960099788538,0.03175210563951584
2006,"Women","United Kingdom","GBR",0.017464456210804773,0.015507034190657198,0.019509484378051806,0.2410602620909241,0.2323967368019674,0.24948906327756537,0.04391948166808412,0.04081750130081813,0.04701281885778487,0.3796308235169218,0.37032034727254115,0.3887563862135821,0.31792497451326523,0.30930272376542306,0.3268825923800115,0.15109929481691023,0.1439990340553211,0.15855426242062948,0.060332367738874376,0.05587356768092221,0.06498255176561304,0.0296285995351395,0.02625455144756865,0.033262726801107555
2007,"Women","United Kingdom","GBR",0.017395521745514883,0.015516071766404804,0.0194357136402076,0.2458053287273039,0.23713373656283945,0.2542855776781229,0.04376467596934857,0.04072091287288714,0.046804609905757466,0.37629054117978256,0.3669751763078418,0.385342970670971,0.31674393037805004,0.30794721624789,0.32541989738569993,0.1530248256219606,0.1459500759701728,0.1605331567690845,0.06175715104172237,0.05731243961245393,0.06658014145050611,0.031023352063620946,0.027530037180635118,0.034754255287766204
2008,"Women","United Kingdom","GBR",0.017356874131028946,0.015470848708434671,0.019357364963298214,0.25023142522036446,0.2419067480692469,0.2588084899393214,0.04371434004859737,0.040760534341092274,0.04672022213184768,0.3732526321888048,0.3641713222563461,0.3820061037123042,0.3154447264112044,0.30668162804642046,0.3239325191971784,0.1547334587161966,0.1477657866145074,0.16229051890245258,0.06306553773004557,0.05867800476216457,0.06772899723045774,0.032432428774122314,0.028851875697408224,0.036279197708732815
2009,"Women","United Kingdom","GBR",0.017348666679408514,0.01552594545088274,0.01931869702712309,0.25426992508680685,0.2459862705815832,0.262809721670825,0.04375650247575055,0.040824181593296614,0.04668336145097671,0.3705427079916245,0.3615280731130316,0.3792470031844968,0.31408219576640967,0.3054354738220964,0.32235717333710295,0.1562059726306279,0.14922613313628355,0.1636757551111654,0.06422739547759732,0.05985139582497619,0.06889754442432992,0.03383655697858159,0.0301796956695095,0.037706121636368134
